sample_id	total_contig_len	average_contig_len	longest_contig_len	contig_N50_len	contig_N90_len
HSM7J4LF	34983224	371	22563	1048	101
HSM67VFJ	64895587	337	34348	996	101
HSM7CYZB	41774148	287	21756	973	101
CSM79HI3	79038600	380	41402	894	122
HSM5MD79	54458392	296	28246	854	101
CSM5MCWE	60467205	362	22087	799	111
CSM79HI7	69754758	384	39900	781	132
HSM7CYY3	60479775	330	19180	762	101
CSM67UBN	56544873	326	37700	758	101
CSM79HO1	90189708	307	26959	737	101
PSM7J17F	9820644	254	25311	672	101
CSM7KOJE	76865823	339	16667	659	116
CSM7KOJO	73596632	340	43222	659	111
CSM79HNO	37817581	332	33526	582	113
CSM79HIB	79727901	319	34988	582	104
PSM7J1BF	107127779	295	20414	580	101
CSM79HJW	57057024	304	41034	565	101
HSM6XRQY	53638494	284	21210	556	101
HSM7J4QL	74922813	281	33400	554	101
CSM5MCWG	23772947	357	13361	549	143
HSMA33IG	88441409	283	26750	543	101
CSM5MCVN	61805986	299	37997	538	101
HSM67VF3	58873063	273	35935	533	101
HSM7CYYP	39202535	270	29855	531	101
HSMA33R1	97085997	297	34754	529	101
CSM67UBR	45714523	302	18400	527	102
HSM6XRQW	54799130	287	28452	526	101
CSM67UAG	65101692	290	19431	515	101
MSM9VZNZ	102565129	296	20971	514	101
HSM6XRQS	60494370	275	23910	513	101
HSM67VHK	26443970	284	16716	512	101
CSM67UEM	81370533	284	18358	509	101
CSM7KOKD	92699387	274	24461	507	101
CSM67UBH	80369389	295	30723	506	101
PSM6XBVO	79092058	275	28772	505	101
CSM7KOJG	93224023	299	70700	503	101
HSM67VFH	48870604	300	16453	497	102
HSM7CYYH	81156800	281	39691	497	101
CSM5MCWC	57983842	285	50357	495	101
HSM6XRQK	81142616	274	33664	490	101
PSM7J1BD	100873409	276	20944	483	101
HSM7CYY7	113995202	279	32718	475	101
HSM7J4ON	61291143	255	36820	472	101
CSM79HNW	31116584	271	20403	471	101
MSM9VZMA	107764832	274	26656	468	101
HSM7CZ14	41455673	273	33707	467	101
PSM7J13Y	107942388	296	28364	466	101
PSMA263S	59404184	284	27270	464	101
PSM7J12B	83030224	275	18958	464	101
MSM9VZNX	104677454	279	39526	463	101
PSMA263M	76900786	286	14918	461	101
CSM79HJY	62483673	278	21961	461	101
HSM7J4OZ	84266650	279	21324	458	101
CSM7KOPU	84790638	271	20200	454	101
MSM6J2QP	114912541	270	32034	452	101
PSM7J16F	80342101	273	24642	451	101
CSM7KOSL	29634367	268	16421	444	101
PSM7J141	91507860	280	25482	442	101
MSM9VZMA_TR	92740740	258	24153	435	101
HSM7J4MW	97037475	273	33326	433	101
CSM67UBF	54764534	276	15795	432	101
HSM7J4PU	68745791	268	21858	431	101
PSM7J1CU	96110226	277	20415	431	101
ESM5MEC9	64501327	262	26993	429	101
PSM7J169	83064046	273	20805	429	101
HSM7J4QF	83176815	268	24152	428	101
HSM7CYZT	35014063	265	45541	428	101
HSM7J4L5	60955104	260	22667	426	101
PSM7J1AU	68669710	262	20065	426	101
HSM6XRQM	98936785	281	39621	425	101
CSM67UEI	141811705	270	33228	423	101
MSM9VZEU	103426932	275	46252	422	101
MSM6J2ON	47513935	240	24425	422	101
HSM7CYXI	39473312	262	21446	414	101
PSMA263U	56390855	276	19172	413	101
HSM6XRQB	122824595	264	25657	413	101
PSM6XBVM	91914429	259	29827	412	101
HSM67VFD	12037855	260	11090	411	101
HSMA33S4	99376326	264	26941	411	101
HSMA33KO	92128196	262	22362	410	101
MSM6J2HT	106752749	251	28986	409	101
MSM9VZEY	134919048	266	38178	409	101
PSM7J18Q	93549475	268	28305	408	101
HSMA33LZ	96312105	268	24795	407	101
HSM7CYZ5	53512739	265	19976	406	101
MSM9VZHX	105487621	258	28729	405	101
MSM6J2LL	134505752	274	31369	403	101
HSM7CYZD	39096358	252	20608	402	101
HSM7J4Q1	135795086	268	22386	401	101
PSM7J1B7	90413350	268	20261	401	101
PSM6XBVI	102803847	256	27215	401	101
CSM7KOPS	113114186	265	27105	399	101
HSM7J4Q9	122617925	266	29783	398	101
PSM7J1AQ	81521893	254	16290	398	101
CSM79HNU	29613121	257	10896	398	101
HSM6XRQU	76824166	261	37576	397	101
PSM7J127	79802473	254	17035	395	101
CSM7KORS	95334537	261	30909	395	101
HSM5MD62	109057040	261	25133	394	101
MSM6J2PK	132194653	260	28305	392	101
MSM5LLER	131517197	258	29631	389	101
MSM6J2HD	43162884	237	28223	386	101
ESM7F5CB	110321331	252	20099	382	101
HSM7CYXE	59981786	252	19312	381	101
MSMB4LXY	190642995	264	24659	381	101
MSM6J2LN	132644171	259	30557	381	101
PSMA2668	74292140	262	24899	380	101
HSM7J4KQ	88293501	251	28077	379	101
PSM7J1B9	100573132	249	21063	379	101
MSM6J2QR	130512583	251	31936	379	101
HSM7J4IP	99466133	256	23977	378	101
HSM5MD73	143449765	258	37388	378	101
PSM7J1CG	100701682	259	44965	377	101
HSM7J4P2	118943994	258	28686	376	101
MSM79H7M	97350615	251	31324	375	101
MSM6J2ML	79374717	253	24575	374	101
CSM7KOST	58845103	259	25383	374	101
MSM9VZMC	87254608	249	18914	373	101
HSM7CYXO	59836857	251	25400	372	101
CSM67UDF	93764865	255	31337	372	101
PSM7J13I	107528681	250	18773	371	101
HSM7J4OX	129704869	264	22442	370	101
ESM7F5AM	144716440	257	18827	370	101
MSM9VZMU	191992066	260	38488	369	101
CSM5MCXL	122139979	254	41509	369	101
HSM7CYX6	136848310	254	33502	368	101
CSM79HLG	120660028	255	56261	368	101
HSMA33JN	122958242	258	27931	367	101
MSM6J2Q9	92281267	249	23876	366	101
PSMA264K	86213543	255	20643	365	101
HSMA33R5	120065389	251	20790	364	101
CSM7KOKF	116123095	254	19676	364	101
HSM7CZ3G	106107051	251	30196	363	101
HSMA33JP	134917508	259	28745	362	101
PSM7J161	70293592	263	28401	361	101
HSM7J4J9	88817023	254	25108	360	101
PSM7J1BR	30103535	240	22813	360	101
HSM5MD6Y	142977076	258	23907	360	101
MSM6J2SK	99380731	251	25492	360	101
MSM6J2OH	41030180	235	31938	359	101
HSM5MD5P	111422763	253	36025	358	101
HSM6XRT8	111192313	259	48843	358	101
PSM7J1AO	75854778	246	20029	358	101
MSM5LLF4	105319788	259	20318	358	101
HSMA33IA	102810009	252	17898	357	101
MSM9VZOW	93430933	258	25141	356	101
CSM9X1XU	85139793	250	23009	356	101
PSMA265L	141187589	256	32276	355	101
CSM7KOSP	56220721	248	16245	355	101
PSMA267J	119585622	250	29655	352	101
MSM6J2IQ	106113010	244	37802	352	101
MSM79HDC	92844338	259	29704	351	101
HSMA33MV	106219941	254	19697	349	101
PSM7J1AS	92143041	248	18950	349	101
HSM6XRQO	86851153	247	30696	348	101
CSM7KOPI	108138326	246	33887	348	101
HSM7J4QB	62978584	250	22039	347	101
MSM79H7C	128590309	247	30752	347	101
HSMA33NC	149985108	251	25988	346	101
HSM7CYXQ	85906232	243	18257	346	101
CSM67UDR_TR	88988011	247	26742	346	101
HSM7J4I9	127724814	243	25732	345	101
MSM9VZMM	139820496	248	23398	344	101
MSM9VZIQ	135189034	254	29752	343	101
PSMA2671	88700419	245	18656	342	101
CSM79HLA	180909842	245	28050	342	101
HSM7J4HM	89710118	247	25981	341	101
PSM7J14L	61791532	258	21409	340	105
